n           i   real    user    cmp     overhead-real 
10000       1   0.002   0.002    -      0.003
10000       2   0.002   0.002    -      0.002
10000       3   0.002   0.000    -      0.002
50000       1   0.006   0.003    -      0.006
50000       2   0.006   0.006    -      0.006
50000       3   0.006   0.006    -      0.006
100000      1   0.011   0.011    -      0.011
100000      2   0.018   0.010    -      0.011
100000      3   0.012   0.005    -      0.012
500000      1   0.084   0.053    -      0.055
500000      2   0.075   0.040    -      0.053
500000      3   0.074   0.031    -      0.052
1000000     1   0.131   0.086    -      0.108
1000000     2   0.133   0.088    -      0.112
1000000     3   0.134   0.094    -      0.110
5000000     1   0.613   0.437    -      0.662
5000000     2   0.595   0.433    -      0.724
5000000     3   0.612   0.442    -      0.982
